response,labels
"Dear abc, 
 Thank you for your outstanding job leading the web redesign project. The project met its goals and serves as an example for the company about how a project team can set goals, obtain support from the organization, and accomplish its stated goals and mission within the projected time frame. 
 At our wrap-up luncheon today, you recognized each member of your team in a thoughtful, deserving way. 
 I am certain that your team members feel rewarded and recognized. I was happy to add my voice to yours in praising the team effort. 
 You provided a lesson that all of us can learn from about how to make a team successful in our company. Iâ€™d like you to share your observations and thoughts at the upcoming monthly manager meeting. Please let me know if you can be prepared by then and if there is any way that I can help you present your key learnings and process. 
 Again, I am so happy with the contribution that you have made to our organization through your leadership of the web redesign team. I hope to make use of your leadership skills in the future. 
 Thank you. 
 Xyz",1
"Abc 
 Street name 
 pin code 
 phone number 
 Date 
 Name of the receiver 
 Position of the receiver 
 Street name 
 pin code 
 phone number 
 Dear receiver, 
 It was a pleasure to meet with you regarding the marketing manager position with your firm. After hearing about the new direction you are planning to take with your marketing division, especially the plans to incorporate more interactive media, I am even more confident that I would be very interested in joining your group. My background includes strong experience in social media and web development, and I have some great ideas already to help with the rebranding. 
 Thank you for taking the time to meet with me. I will be in touch later this week to follow up with you, but please don not hesitate to contact me at your convenience with any additional questions. I look forward to speaking with you soon. 
 Regards, 
 Signature (hard copy letter) 
 abc",1
"Dear Mr./Ms. Last name,
 Thank you for your application for the [insert your job position title] at [insert your companyâ€™s name]. We really appreciate your interest in joining our company and we want to thank you for the time and energy you invested in your [insert applicable: job application/job assignment]. 
 We received a large number of [insert applicable: job application/job assignment], and after carefully reviewing all of them, unfortunately, we have to inform you that this time we will not be able to invite you to the next phase of our selection process. 
 Though your [insert applicable: education/qualifications/working experience/skills] are impressive, we have decided to move forward with a candidate whose [insert applicable: education/qualifications/working experience/skills] better meet our needs for this particular role. 
 We truly appreciate your expertise in [insert applicable industry] and interest in our company. We hope you will keep us in mind and apply again in the future. 
 If you have any questions or need additional information, please don not hesitate to contact me by email [insert your email address] or phone [insert your phone number]. 
 We wish you every personal and professional success in your future endeavors. 
 Once again, thank you for your interest in working with us. Kind regards, 
 [insert your first name and last name] 
 [insert your job position title] 
 [insert your company name]",1
"From, 
 abc 
 Street name 
 pin code 
 phone number 
 Date 
 To, 
 xyz 
 Street name 
 pin code 
 phone number 
 Subject: Congratulation letter 
 Dear Sir, 
 We are writing this letter to congratulate you on your engagement. We recently got the news that you got engaged and that happy news made us write this letter to you. I thank god that I got your contact and was lucky enough to congratulate you on writing this letter. We are happy for you as you finally found a perfect mate for you. 
 You were well settled, and the sole thing incomplete in your life was a life partner. Now, as that too has been fulfilled, I am very happy and glad. We wish you a very happy married life and wish you success in your life ahead. At the end of this letter, I would like to wish you all the very best. May God bless you with loads of happiness in career and your future. 
 Thanking You 
 Yours truly, 
 abc",1
"Dear Ms xyz, 
 I am writing to submit my resignation for my position as unit coordinator at Town Hospital, effective June. 
 I am more grateful than I can say for all your support and assistance over the past five years. Working here has been a first-class education in teamwork, healthcare administration, and getting the job done. I will miss working with you all, and hope you will stay in touch. 
 Please let me know if I can be of any assistance during the transition. 
 Sincerely, 
 abc 
 email 
 phone number",1
"Dear Mr abc, 
 Please accept this written notification of my absence on DDMMYYYY. I am unable to attend work due to sickness. 
 If you need additional information, please let me know. 
 Sincerely, 
 xyz",1
"Dear abc, 
 I am writing to document my absence due to illness on DDMMYYYY. I was unable to report to work due to an acute attack of food poisoning. Please see the attached report of my treatment at Urgent Care. 
 Regards, 
 xyz",1
"Dear Supervisor Name: 
 I have come down with the flu and will not be coming in on Monday, DDMMYYYY, so I can rest and recover. I have asked Patricia to check on my clients to ensure all of their needs are met, and Tom will prepare the report for our meeting Friday. 
 I will try and check email if you need anything urgent. 
 Thank you, 
 xyz",1
"Your Name 
 Title 
 Organization 
 Address 
 City, State Zip Code 
 Date 
 Contact Name 
 Title 
 Organization 
 Address 
 City, State 
 Zip Code 
 Dear Mr. Lastname, 
 Please accept this letter as documentation of my absence from DDMM through DDMMYYYY, due to sickness. I have included my doctor note detailing his recommendation for hospital treatment due to complications from the flu. I have also enclosed the hospital discharge instructions. 
 If I can provide any additional information, please let me know. Thank you for your understanding. 
 Sincerely, 
 Your Signature (hard copy letter) 
 Your Typed Name",1
"Dear (name of recipient) 
 We would like to inform you that everyone here at (name of company) felt sad after learning that (name of employee) is ill for the past few days. 
 Of course, we understand that this situation manifest without any warning and while the expected proceeds from the insurance coverage policy defrays a certain amount of the total medical costs, we know that you need additional cash assistance to overcome this difficult time in life. 
 Please do not ever hesitate to contact us in case you need our financial assistance. We always consider (title â€“ Mr./Ms./Mrs.)(name of employee)as one of the most valuable workers in this company and (he/she) is a fine individual and we will appreciate if you let (him or her) know that we are here praying for (his or her) fast recovery. 
 Likewise, we will have you in following up the proceeds on the best we can.",1
"[Date] 
 Dear [Name of Employee], 
 We would like to commend you on how you handled the emergency situation on [date] when the program that was supposed to be passed on the same day experienced a problem. 
 You were the one leading the team to fix the problem with only 1 hour left before the submission. You saved the company on this huge project and it was all because of your skills and knowledge. 
 We are very proud that you are in this organization and we are expecting that you will do the same thing when a sudden emergency erupts. 
 Sincerely, 
 [Name of Sender] 
 [Title] 
 [Email]",1
"[Business Address] 
 [Employee Address] 
 [Today date] 
 Dear [First Name] 
 Thank you for your letter dated [insert date] regarding your request to change your working hours to fall in line with school term times. [or other reason] 
 Following a meeting between [detail who made the decision] on [date] they agreed to accept your request to change your working hours to a term time working pattern with the following two caveats: 
 [the following two bullet points are examples only, replace them with your own] 
 You are to work a minimum of [time] during the main school Summer holiday period. 
 Annual Leave can only be taken in school holidays. 
 These new working hours will begin on [date] for a trial period of six months when the matter will be reviewed again on [date 6 months from this date]. 
 Due to the reduction in working hours your salary and associated benefits will be affected. Your salary will be [details here], your holiday entitlement has been adjusted to [number of hours] and your pension contributions will be [amount]. [Mention any other changes to working terms here]. 
 I hope you find the above terms agreeable. Please can you let me know if you are happy with them and I will begin the process of arranging for the necessary agreement to be drawn up. Please don not hesitate to contact me if you wish to discuss the matter further. 
 Yours faithfully 
 [Your Name] 
 [Position]",1
"To all staff, 
 CHRISTMAS BONUS 
 We are delighted to let you know that this year we will be awarding all staff a Christmas bonus of [amount]. 
 This bonus give us the opportunity to thank each and every one of you for your hard work this year. [Year] has been a challenging year and your hard work and dedication make us proud to have you work for us. 
 Here is hoping next year with your help, we will see the company continue to grow. 
 Season Greetings. 
 [Name of company owner]",1
"[Date] 
 Dear [Employee Name], 
 This letter is made to inform you about the new company policy of [Name of Company] with regard to vacations. 
 If you are going to ask for a vacation, it must be given to the company no less than 3 days prior to your target date. This new policy will enable the company to seek temporary help, if needed and to schedule vacations to other employees in a manner that will not affect the daily operations of the company. 
 We would like to ask your full cooperation on the new policy. Thank you. 
 Sincerely, 
 [Name] 
 [Title]",1
"Name 
 Job Title 
 Company Name 
 Address 
 City, State Zip Code 
 Date 
 Name of Person Requesting Verification 
 Job Title 
 Company Name 
 Address 
 City, State Zip Code 
 Dear Mr./Ms. Last Name, 
 This letter is to verify that (employee name) has been employed at (company name) since (start date). 
 If you require any additional information regarding (employee name), please feel free to contact me at (your phone number). 
 Sincerely, 
 (Handwritten Signature) 
 Your Name",1
"[name] 
 [position] 
 [address] 
 DDMMYYYY 
 [name] 
 [position] 
 [address] 
 Dear Mr. ABC, 
 This letter is to verify that ABC has been employed at GMC Associates for the past three years in our Accounting Department. She began work on DDMMYYYY. 
 If you require any additional information, please feel free to contact me at [PHONE NUMBER]. 
 Sincerely, 
 (Handwritten Signature) 
 XYZ 
 [POSITION]",1
"ABC 
 Human Resources Manager 
 [ADDRESS] 
 DDMMYYYY 
 XYZ 
 Manager 
 [ADDRESS] 
 Dear Ms. Sanchez, 
 This letter is to verify that Robert Smith was employed at Martin & Martin, Incorporated from DDMMYYYY to DDMMYYYY. 
 If you require any additional information regarding Robert Smith, please feel free to contact me at [PHONE NUMBER]. 
 Sincerely, 
 (Handwritten Signature) 
 ABC",1
"Dear all 
 I would like to take this opportunity to let you know that I will be leaving my position at ABC Company. My departure will be on DDMMYYYY. My family and I will be moving to city name since my wife were offered a new position at a distinguished hospital there. 
 I would like to thank each of you for every experience shared, friendship made and the good times we had together. I would like all of you to know that working alongside you was very rewarding and i really appreciate all the help you have extended to me through tough times. It makes me wish that I had the chance to work with you more. Words are not enough to express my gratitude but i pray that one day our paths can cross again in future. 
 It doesn not mean that am saying goodbye forever. You can still reach me at my personal email at (EMAIL) or my cell phone, [NUMBER]. 
 Thank you again and wish the company more success. 
 Sincerely, 
 Mr. John James",1
"Dear XYZ, 
 I would like to let you know that I am leaving my position at BDE Corporation on July 1st. 
 I have enjoyed my tenure at BDE, and I appreciate having had the opportunity to work with you. Thank you for the support and encouragement you have provided me during my time at BDE. 
 Even though I will miss my colleagues, clients, and the company, I am looking forward to starting a new phase of my career. 
 Please keep in touch. I can be reached at my personal email address [email] or my cell phone [number]. You can also reach me on LinkedIn [profile name]. 
 Thanks again. It is been a pleasure working with you. 
 Best regards, 
 ABC",1
"Name/Title 
 Address 
 City, State, Zip Code 
 Subject: Inquiry regarding my research 
 Respected [Name] 
 I am currently studying in XYZ Business School Pursuing my MBA, I am in second year and have to give presentation on marketing field. 
 I have read about your company on website and would like to do research on your company. I want to know about the marketing process. Therefore, I request you to give me one day permission of visiting your company and allow me to inquire about the marketing process. 
 I would be grateful if you give me a chance to conduct the research. Please let me know about your reply at the earliest. 
 Thanking you, 
 ABC",1
"Date DDMMYYYY 
 Name/Title 
 Address 
 City, State, Zip Code 
 Subject: Inquiry regarding the purchase of real estate 
 Respected [Name] 
 This letter is in regards to inquiry about your new project in your real estate. 
 I am planning to buy three bedrooms apartments for investment purpose. My budget for the same would be around [amount]. I would like to know if you have any project which is in my budget. Also know my other option for investment purpose. 
 It would be really grateful if you can let me know the details or forward me your company brochure. I can also meet you personally if required. You van contact me on xxxxxxxxxx. 
 Thanking you, 
 abc",1
"Date DDMMYYYY 
 Name/Title 
 Address 
 City, State, Zip Code 
 Subject: Inquiry about a computer 
 Respected [Name] 
 This letter is to inquire about the HP Laptop. I am planning to buy ten laptops for my business purpose. 
 We are advertising firm and would require laptop with graphic features. Our budget for ten laptop is Rsâ€¦â€¦â€¦. We would be requiring laptop which is easy to carry, portable, good ram sizeand most important which suits our budget. 
 I would like to know the varieties of laptop with all the features that I have mentioned above. If required I am fine with any other brand too. 
  Regards, 
 Abc",1
"Date DDMMYYYY 
 Name/Title 
 Address 
 City, State, Zip Code 
 Subject: Inquiry about my interview 
 Respected [Name] 
 This is in regards to my interview that was held in your ABC Company on DDMMYYYY for the position of [position name]. 
 I thank you for giving me the opportunity to attend the interview. During my interviewi was told by Mr.XYZ that I will be informed about the result in one week whether I am selected or rejected. This job is very important for me and I am very sure about my selection as my interview was goog. 
 I would request you to please let me know my result at the earliest. You can contact me on [phone number]. 
 Yoyrs sincerely, 
 ABC",1
"Date DDMMYYYY 
 Name/Title 
 Address 
 City, State, Zip Code 
 Respected [Name], 
 This is to enquire about our [name of person] who has been convicted by you. 
 Our [person name] is been convicted for murdering an [citizen name] and been imprisoned. This is to inform you that [name of the person] is in our army from last two year and is from good background. He is one of the brave soldiers in our army. He has proved his bravery by fighting in [place name]. 
 As per our enquiry [person name] was tying to protect a girl from boys who were harassing her. For his own defence he tried to push the victim away from the girl and during the course the victim met with accident. 
 Therefore, I would request you to look into the matter and let me know for what [person name] is been convicted. 
 Regards, 
 [XYZ]",1
"Date DDMMYYYY 
 Name/Title 
 Address 
 City, State, Zip Code 
 Subject: Letter for credit inquiry 
 Respected [Name] 
 This letter is regards to home load application. We have gone through the details of your income and the home loan amount that you want. We can approve your loan after check your credit rating. 
 It is bank policy to check for the credit rating of the person applying for the loan, of the credit rating is positive than we can issue you the loan and if it is negative than we have to reject the application. We have to check the person is credit worthiness and credit rating maintained by various credit bureau. 
 I hope you understand that this inquiry is a standard procedure and cooperate with us. Please collect all the needed documents and meet our representative at the office. 
 Regards, 
 ABCZ",1
"Date DDMMYYYY 
 Name/Title 
 Address 
 City, State, Zip Code 
 Subject: Inquiry credit report 
 Respected [Name] 
 This is in regards to my inquiry about the credit report that is with the credit rating agency. 
 Last month I had inquired about my credit rating since I wanted to apply for the home loan. On my inquiry I was been informed that my credit rating is excellent. Therefore I had applied for the home loan with the bank, but my loan was rejected on the basis that my credit rating is not good. 
 I would request you to look into the matter and I am also sending you a copy of my statement that I have got from credit rating agency last month which shows my records were excellent. 
 Thanking you, 
 ABC",1
"Dear [employee name], 
 I would like to formally and sincerely express my gratitude for the amazing work you accomplished [insert what the employee did that deserves recognition]. 
 Your [insert the employee admirable qualities that directly contributed to their achievement] are impressive and show exceptional discipline and dedication to this company. 
 Your actions directly impacted the company by [insert how the employee actions benefited the team or company on a greater level]. I want you to know that I value the amount of effort you have put into your work. You are significantly appreciated as a part of this team. 
 Once again, thank you for your hard work. I look forward to seeing your future achievements and successes! 
 Sincerely, 
 [Your first and last name] 
 [Your job position title] 
 [Your company name]",1
"Dear [employee name], 
 I want to thank you for the amazing work you did with [insert what the employee did that deserves recognition]. 
 Your [insert the employee admirable qualities that directly contributed to their achievement] shows just how disciplined you are and how much you care about this team. 
 Your work led to [insert how the employee actions benefited the team or company on a greater level]. I want you to know you are valued on this team. We are so lucky to have you! 
 Thanks again for all your hard work. I can not wait to see your future achievements and successes! 
 Sincerely, 
 [Your first and last name]",1
"Hi [employee name], 
 I just wanted to say thanks for your help with [insert what the employee did that deserves recognition]. 
 Your [insert the employee admirable qualities that directly contributed to their achievement] clearly showed! 
 The time and effort you put in [insert how the employee actions benefited the team or company on a greater level]. We truly could not have done it without you! 
 Thanks again! 
 [Your first name]",1
"Dear [name], 
 On behalf of Fixing Industries, I would like to say thank you for being a loyal customer. It has been a pleasure serving you and supplying you with consumer durable items, and we hope that we can have the pleasure of serving you for many more years to come. 
 Fixing Industries is committed to providing our customers with the highest quality of consumer durable items through flawless customer service. 
 As proof of our appreciation for your loyalty and ongoing support, we would like to give you a 15 percent voucher off your next purchase with us. 
 Once again, thank you for your support, and we look forward to serving you in the coming months. 
 Best regards, 
 [name]",1
"Subject Line: Departmental Changes 
 Dear Team: 
 Good morning. There are some exciting changes coming to our department that I wish to alert you to. 
 Due to ABC Inc recent acquisition of XYZ Company, our executive management has decided that some restructuring of our department is in order so that our transition through this merger can be as seamless as possible. 
 This is, in general, very good news for all of us, for we will be onboarding ten new sales representatives â€“ which will both relieve our current understaffing situation and prepare us for the heightened sales operations this merger is anticipated to trigger. 
 I am scheduling a staff meeting for tomorrow from 12 pm to 1 pm where I will outline the steps of this important transition; lunch will be provided. Please feel free to reach out to me at any time during the next few weeks with any questions or concerns. 
 Best regards, 
 ABCD 
 Email: email@gmail.com 
 Phone: xxxxxxxxxx",2
"Date: 
 From, 
 (name) 
 (designation) 
 (address) 
 To, 
 (name) 
 (designation) 
 (address) 
 Salutation (Dear Mr./ Mrs. ABC), 
 Subject: (Must be direct/straight forward) 
 Body of Letter: (Be precise and to the point. Ensure that letter is professional, adopting all conventions of formal letter writing. Also do not forget to attach supporting documents if required) 
 Complimentary Close (eg: Yours Sincerely) 
 Signature line (Your name along with the title) 
 Enclosures if any (Such as doctor note)",2
"ABC 
 [address] 
 [pin code] 
 [phone number] 
 email@email.com 
 DDMMYYYY 
 XYZ 
 [Designation] 
 [Address] 
 Dear XYZ, 
 I wanted to drop you a line personally to let you know that I will be leaving LMK at the end of the month. I am sorry to go, but as you know, I will be starting school in August and I want to give my studies my undivided attention. 
 I have learned so much during my time here, and you have been a big part of that. I want to thank you for your mentorship and guidance when I was an intern and your support during my search for the right graduate program. 
 Please keep in touch. My email address is email@email.com and my phone number is 555-555-5555. Let get coffee sometime during the coming semester and you can tell me all the news about the best team in the business. 
 Thanks, and best regards, 
 ABC (signature for hard copy)",2
"ABC 
 [address] 
 [pin code] 
 [phone number] 
 email@email.com 
 DDMMYYYY 
 XYZ 
 [Designation] 
 [Address] 
 Dear Ms. XYZ, 
 I am extremely sorry for my late arrival at the important sales meeting with The Star Agency last week. My tardiness almost lost us a valuable client. 
 I understand that, as a sales team, we need to always present ourselves as professional and reliable, and timeliness is a large part of that professionalism. I, therefore, let down the entire sales team with my behavior. 
 I am currently taking steps to ensure that I am never late again for a client meeting (or any other work-related event). I was delayed due to my car breaking down, so I am getting my car serviced. From now on, I will also be sure to leave for meetings even earlier than I already do, so even in the case of an emergency, I will still be able to arrive on time. 
 Please let me know if there is anything else I can do to reassure you and the rest of the company that I greatly value my position on the sales team, and that I will not let the team down again. Thank you so much for your understanding. 
 Sincerely, 
 ABC",2
"Dear XYZ, 
 Please accept this apology letter for the mistake I made handling the Brenton project. I apologize profusely for what happened, and you have my word it will never occur again. 
 I misread my calendar and thought I had until the [date] of [month] to complete the project. Therefore, I thought I could delay the Brenton account and focus on other pressing matters. I do not offer this story as an excuse, but merely to tell you where I went wrong. It was a silly mistake on my end, and I will ensure I do better with all our clients. 
 I accept full responsibility for this situation. If you feel the need to suspend my employment temporarily or take away my commission on the account, then please feel free to do so. I am also in the process of writing a detailed apology letter to the people at Brenton Industries to inform them of the situation. I understand at this point it is uncertain if they will continue doing business with us, and I will do everything in my power to keep them on as clients. 
 I hope you can forgive me, and I hope to prove through my work that I only want the absolute best for all our clients. 
 Sincerely, 
 ABC",2
"[Date] 
 Dear [Company name] employee: 
 As we are all aware, the economy is posing challenges for everyone. We need to be financially responsible and proactive. To that end, I have asked the executive team to review all business goals, objectives and processes in order to find ways to decrease expenses, increase revenue and protect the future well-being of [Company name]. 
 As a result of this analysis and in an effort to manage company assets conservatively during this economically challenging time, the executive team has come to a difficult but necessary conclusion. Effective [date], all exempt employees will receive a 5 percent reduction in their annual salary and all nonexempt employees will receive a 5 percent reduction in their hourly pay rate. In addition, all overtime work will cease and employees are expected to continue to work their regular full- or part-time schedule. 
 This was an extremely tough decision, and we understand the impact this will have on you and your family. However, please know that we considered several other alternatives, and the choice we made is the best option at this time and will have the least impact on our employees overall. 
 The executive team will continue to monitor [Company name] finances and reevaluate this decision each quarter this year. We believe the outcome from this measure will better position the company for a solid financial future. 
 We appreciate all of your hard work, and we know we will have your support as we all strive for continued business success. Should you have any questions, please don not hesitate to speak with your manager or contact human resources. 
 Sincerely, 
 [Name] 
 CEO/President",2
"Dear xyz,
 My name is xyz the parent of xyz a class xyz student in your school xyz. I wish to express my appreciation for the support you have given to my child for the xxx years he has schooled here. The staff have also been dedicated in their work to help the students do well in school.
 I hereby write to apply for a transfer of my child xyz admission number xxx. I have got a new job in xyz and I will relocate with my family by xyz. Since he is young and cannot be left alone in the city, I have decided to relocate him to a school near my new office.
 I have discussed this issue with the class teacher so that the arrangements for transfer can begin. Kindly find the dully filled transfer application form for your reference. Please grant a transfer to xyz so that we can finalize the travel arrangement by the latest xyz. I will highly appreciate your positive response.
 Thank you in advance for your consideration.",0
"
 Dear xyz,
 I hereby write to apply for the xyz job opening with xyz re cently advertised on your career portal. I am motivated by the work of your organization in promoting accessibility of basic services in xyz. With my experience in project management and social services, I believe I will make an asset to your organization.
 Currently, I am working with xyz to support water and sanitation services in xyz. In my work for xxx years, I have supported over xxx projects to provide clean water to communities and offering sanitation awareness in  schools. My accomplishments have contributed to reducing sanitation-related health issues. In this position, I have demonstrated a passion for community services and promoting wellbeing.
 I have a degree in xyz, I have excellent communication, teamwork, organization, people-orientation, and leadership skills.  I am proficient in conducting surveys, research, and mobilizing resources. I believe my skills and experience will bring value to the work of your organization.
 I wish to welcome any opportunity for an interview                        . Please reach out through my cell xxx or email xyz.
 Your Truly,",0
